 против 	 against 	 preposition 
 индий 	 indium ; In ; atomic number 49 	 chemistry 
 землепашец ; земледелец 	 farmer ; husbandman ; granger ; sodbuster 	 profession 
 сюрреализм 	 surrealism 	
 возвышение ; возвышенность ; холм 	 hill 	 nature 
 ряд 	 row 	 line 
 Арес 	 Ares 	 mythology 
 четырнадцать 	 fourteen ; 14 ; xiv 	 number 
 Бенилюкс 	 Benelux 	
 ячейка ; клетка 	 cell 	 anatomy 
 Анаксимандр 	 Anaximander 	
 аптекарь 	 pharmacist ; druggist ; chemist ; apothecary ; pill pusher ; pill roller 	 profession 
 сперма 	 sperm ; sperm cell ; spermatozoon ; spermatozoan 	 biology 
 разгул ; вакханалия 	 orgy ; debauch ; debauchery ; saturnalia ; riot ; bacchanal ; bacchanalia ; drunken revelry 	 police 
 Лига Наций 	 League of Nations 	
 неодим 	 neodymium ; Nd ; atomic number 60 	 chemistry 
 бадминтон 	 badminton 	
 Больцано 	 Bolzano 	
 эстетика 	 aesthetics ; esthetics 	 philosophy 
 синтаксис 	 syntax ; sentence structure ; phrase structure 	 linguistics 
 Зимние Олимпийские игры 	 Winter Olympic Games ; Winter Olympics 	
 Франсиско Франко Баамонде 	 Franco ; Francisco Franco ; El Caudillo ; General Franco 	 person 
 Сардиния 	 Sardinia ; Sardegna 	
 астат 	 astatine ; At ; atomic number 85 	 chemical element 
 прикрытие ; защита 	 shield ; buckler 	
 Крит 	 Crete ; Kriti 	
 Пруссия 	 Prussia ; Preussen 	
 Венето 	 Veneto ; Venezia-Euganea ; Venetia 	
 немного времени спустя ; вскоре ; скоро 	 soon ; shortly ; presently ; before long 	 adverb 
 спрашивать ; узнавать 	 ask ; inquire ; enquire 	 verb 
 иридий 	 iridium ; Ir ; atomic number 77 	 chemistry 
 гранат 	 pomegranate 	 edible fruit 
 гипертекст 	 hypertext 	 computers 
 брак 	 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 society 
 никотин 	 nicotine 	 health 
 аллигатор 	 alligator ; gator 	 animal 
 Реформация 	 Reformation ; Protestant Reformation 	
 клятва 	 oath ; swearing 	 law 
 плотина 	 dam ; dike ; dyke 	 nature 
 протокол 	 protocol ; communications protocol 	 computers 
 носорог 	 rhinoceros ; rhino 	 animal 
 предыстория 	 prehistory ; prehistoric culture 	 time 
 пригород 	 suburb ; suburbia ; suburban area 	
 поколение 	 generation 	 biology 
 Сионизм 	 Zionism ; Zionist movement 	 movement 
 Пинтер, Гарольд 	 Pinter ; Harold Pinter 	
 компьютерный вирус 	 virus ; computer virus 	 computers 
 Ле Корбюзье 	 Le Corbusier ; Charles Edouard Jeanneret 	 person 
 глина ; глинозём 	 clay 	 art 
 Версальский мирный договор 1919 	 Treaty of Versailles 	
 симфония 	 symphony orchestra ; symphony ; philharmonic 	 music 
 ОПЕК 	 Organization of Petroleum-Exporting Countries ; OPEC 	 economics 
 Тиберий 	 Tiberius ; Tiberius Claudius Nero Caesar Augustus 	
 Роттердам 	 Rotterdam 	 city 
 Киплинг, Джозеф Редьярд 	 Kipling ; Rudyard Kipling ; Joseph Rudyard Kipling 	 person 
 медаль 	 decoration ; laurel wreath ; medal ; medallion ; palm ; ribbon 	 architecture 
 Эгейское море 	 Aegean ; Aegean Sea 	
 экосистема 	 ecosystem 	 nature 
 академия 	 academy 	
 ягодицы ; зад 	 buttocks ; nates ; arse ; butt ; backside ; bum ; buns ; can ; fundament ; hindquarters ; hind end ; keister ; posterior ; prat ; rear ; rear end ; rump ; stern ; seat ; tail ; tail end ; tooshie ; tush ; bottom ; behind ; derriere ; fanny ; ass 	 anatomy 
 half-life 	 half life ; half-life 	 physics 
 поисковая подсистема 	 search engine 	 computers 
 Тайбэй 	 Taipei ; Taipeh ; capital of Taiwan 	 capital_city 
 аквариум 	 aquarium ; fish tank ; marine museum 	
 цивилизация 	 civilization ; civilisation 	 society 
 Мать Тереза 	 Teresa ; Mother Teresa ; Theresa ; Mother Theresa ; Agnes Gonxha Bojaxhiu 	 person 
 Хокинг, Стивен Уильям 	 Hawking ; Stephen Hawking ; Stephen William Hawking 	
 изучение 	 research 	 abstract 
 Гендель, Георг Фридрих 	 Handel ; George Frideric Handel ; George Frederick Handel ; Georg Friedrich Handel 	 person 
 Болонья 	 Bologna 	
 время после полудня 	 afternoon 	 time 
 Чехия 	 Bohemia 	
 Древнеримская мифология 	 Roman mythology 	
 родительный падеж 	 genitive ; genitive case ; possessive ; possessive case 	 linguistics 
 переносное проволочное заграждение ; ёж 	 porcupine ; hedgehog 	 animal 
 Мраморное море 	 Marmara ; Sea of Marmara ; Marmara Denizi ; Marmora ; Sea of Marmora 	
 способ ; метод 	 method 	 mathematics 
 Хиллари, Эдмунд 	 Hillary ; Edmund Hillary ; Sir Edmund Hillary ; Sir Edmund Percival Hillary 	
 резистор 	 resistor ; resistance 	 device 
 контракт 	 contract 	 business 
 луговина ; луг 	 hayfield ; meadow 	 nature 
 тень 	 shade ; shadiness ; shadowiness 	 art 
 горизонт ; линия горизонта 	 horizon ; apparent horizon ; visible horizon ; sensible horizon ; skyline 	 astronomy 
 Малая Азия 	 Asia Minor ; Anatolia 	
 вольфрам 	 tungsten ; wolfram ; W ; atomic number 74 	 chemistry 
 Зороастризм 	 Zoroastrianism ; Mazdaism 	 faith 
 свод ; купол 	 dome 	
 Детройт 	 Detroit ; Motor City ; Motown 	 city 
 Дамаск 	 Dimash ; Damascus ; capital of Syria 	 capital_city 
 индекс ; указатель 	 index 	 mathematics 
 теллур 	 tellurium ; Te ; atomic number 52 	 chemical element 
 дикое яблоко 	 crab 	 animal 
 Троица 	 Trinity ; Holy Trinity ; Blessed Trinity ; Sacred Trinity 	
 может быть ; возможно 	 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 adverb 
 радиус 	 radius ; r 	 mechanical_engineering 
 тучность 	 fleshiness ; obesity ; corpulency 	 medicine 
 цветная капуста 	 cauliflower ; Brassica oleracea botrytis 	 cruciferous plant 
 Исламский календарь 	 Islamic calendar ; Muhammadan calendar ; Mohammedan calendar ; Moslem calendar ; Muslim calendar 	
 Хиросима 	 Hiroshima 	
 способ ; метод 	 manner ; mode ; style ; way ; fashion 	 mathematics 
 блуд ; распутство 	 prostitution ; harlotry ; whoredom 	 law 
 Пьемонт 	 Piedmont ; Piemonte 	
 Один 	 Odin 	 mythology 
 Антананариву 	 Antananarivo ; capital of Madagascar 	 capital_city 
 бедро 	 thigh 	 anatomy 
 ручей 	 brook ; creek 	 nature 
 процент 	 percentage ; percent ; per centum ; pct 	 mathematics 
 папоротник 	 fern 	 world 
 Амман 	 Amman ; capital of Jordan 	 capital_city 
 разрыв ; слеза 	 tear ; teardrop 	
 Пхеньян 	 Pyongyang ; capital of North Korea 	 capital_city 
 мужественный ; смелый 	 brave ; courageous 	 character 
 петь 	 sing 	 verb 
 пила 	 saw 	 device 
 метанол 	 methanol ; methyl alcohol ; wood alcohol ; wood spirit 	 chemistry 
 Пруст, Марсель 	 Proust ; Marcel Proust 	 person 
 веко 	 eyelid ; lid ; palpebra 	 anatomy 
 рог 	 horn 	 object 
 девиз ; лозунг 	 motto ; slogan ; catchword ; shibboleth 	
 пассажир 	 passenger ; rider 	 transport 
 журналист ; газетный сотрудник 	 journalist 	 profession 
 продажа 	 sale 	 business 
 Апостол Пётр 	 Peter ; Simon Peter ; Saint Peter ; St. Peter ; Saint Peter the Apostle ; St. Peter the Apostle 	
 барокко 	 baroque ; baroqueness 	 art 
 принцесса 	 princess 	
 кора 	 bark 	 cover 
 Всемирный торговый центр 	 World Trade Center ; WTC ; twin towers 	
 Оксфорд 	 Oxford 	 city 
 ворота ; калитка 	 gate 	 house 
 маркетинг 	 marketing 	 career 
 красота 	 beauty 	 art 
 Планк, Макс 	 Planck ; Max Planck ; Max Karl Ernst Ludwig Planck 	 person 
 кочевник 	 nomad 	
 бородавка 	 wart ; verruca 	
 дымовая труба ; дымоход 	 funnel 	 chemistry 
 ворон 	 raven ; Corvus corax 	 animal 
 Британские Виргинские острова 	 British Virgin Islands 	
 аптека 	 drugstore ; apothecary's shop ; chemist's ; chemist's shop ; pharmacy 	
 рис 	 rice 	 food 
 побочная работа 	 avocation ; by-line ; hobby ; pursuit ; sideline ; spare-time activity 	 career 
 аббат 	 abbot ; archimandrite 	
 ирландцы ; ирландский народ 	 Irish ; Irish people 	 country2 
 электролиз 	 electrolysis 	 chemistry 
 обнажённый ; голый 	 bare ; au naturel ; naked ; nude 	 medical_procedure 
 мрак и пр. ; темнота ; темный 	 dark ; darkness 	 photography 
 лихорадка ; жар 	 fever ; febrility ; febricity ; pyrexia ; feverishness 	 health 
 вор 	 thief ; stealer 	
 монах 	 monk ; monastic 	 profession 
 анархия 	 anarchy ; lawlessness 	 disorder 
 влечение ; аппетит 	 appetite ; appetency ; appetence 	 health 
 морской прилив и отлив 	 tide 	 astronomy 
 хоккей 	 ice hockey ; hockey ; hockey game 	
 антисемитизм 	 anti-Semitism ; antisemitism 	
 Суматра 	 Sumatra 	
 водка 	 vodka 	 drink 
 поражение 	 defeat ; licking 	 ending 
 Кейнс, Джон Мейнард 	 Keynes ; John Maynard Keynes 	 economics 
 B 	 B ; b 	 alphabetic character 
 Нью-Дели 	 New Delhi ; Indian capital ; capital of India 	 capital_city 
 аутизм 	 autism 	
 бешенство 	 rabies ; hydrophobia ; lyssa ; madness 	 medical_procedure 
 микроэкономика 	 microeconomics 	 economics 
 неопознанный летающий объект 	 unidentified flying object ; UFO ; flying saucer 	
 окись ; окисел 	 oxide 	 chemical compound 
 галоид 	 halogen 	 chemistry 
 женитьба 	 marriage ; wedding ; marriage ceremony 	 family 
 соус 	 sauce 	 food 
 шестнадцать 	 sixteen ; 16 ; xvi 	 number 
 Демокрит 	 Democritus 	
 Брисбен 	 Brisbane 	 city 
 актиноиды 	 actinoid ; actinide ; actinon 	 group 
 семьдесят 	 seventy ; 70 ; lxx 	 number 
 тюрьма 	 jail ; jailhouse ; gaol ; clink ; slammer ; poky ; pokey 	
 инертные газы 	 noble gas ; inert gas ; argonon 	 chemical element 
 Остров Принца Эдуарда 	 Prince Edward Island 	
 аль-каида 	 al-Qaeda ; Qaeda ; al-Qa'ida ; al-Qaida ; Base 	
 Белфаст 	 Belfast ; capital of Northern Ireland 	 capital_city 
 пустые ; бессодержательные слова 	 vacuum ; vacuity 	 physics 
 цицерон 	 Cicero ; Marcus Tullius Cicero ; Tully 	
 Калимантан 	 Borneo ; Kalimantan 	
 Чехов, Антон Павлович 	 Chekhov ; Chekov ; Anton Chekhov ; Anton Chekov ; Anton Pavlovich Chekhov ; Anton Pavlovich Chekov 	 person 
 павлин 	 peacock 	 animal 
 Кубрик, Стэнли 	 Kubrick ; Stanley Kubrick 	
 Зальцбург 	 Salzburg 	
 Голливуд 	 Hollywood 	
 храм 	 temple 	 place 
 Балеарские острова 	 Balearic Islands 	
 состязание в беге ; в скорости 	 subspecies ; race 	 biology 
 хомяк 	 hamster 	 animal 
 магнетизм 	 magnetism ; magnetic attraction ; magnetic force 	 physics 
 жаворонок 	 lark 	 animal 
 салат 	 salad 	 food 
 убытки 	 price ; terms ; damage 	 transport 
 инжир ; винная ягода 	 fig 	 edible fruit 
 дыня 	 melon 	 edible fruit 
 гистология 	 histology 	 medicine 
 Манхэттен 	 Manhattan 	
 скала 	 rock ; stone 	 material 
 физиология 	 physiology 	 biology 
 дружба 	 friendship ; friendly relationship 	 character 
 1930-е 	 thirties ; 1930s 	
 анализ 	 analysis ; analytic thinking 	 mathematics 
 элемент 	 component ; constituent ; element ; factor ; ingredient 	 mathematics 
 Французская Полинезия 	 French Polynesia ; French Oceania 	
 Вадуц 	 Vaduz ; capital of Liechtenstein 	 capital_city 
 Манн, Томас 	 Mann ; Thomas Mann 	 person 
 стиль 	 style 	 art 
 Гражданская война в Испании 	 Spanish Civil War 	
 Эр-Рияд 	 Riyadh ; capital of Saudi Arabia 	 capital_city 
 образование 	 education 	 society 
 порог 	 threshold ; limen 	 construction 
 бухта 	 bay ; embayment 	 world 
 BASIC 	 BASIC 	 computers 
 випера ; гадюка 	 viper 	 animal 
 1960-е 	 sixties ; 1960s 	
 1970-е 	 seventies ; 1970s 	
 тот, кто показывает ; душ 	 shower 	 house 
 1920-е 	 twenties ; 1920s 	
 почка ; бутон 	 bud 	 botany 
 кугуар ; ягуар 	 jaguar ; panther ; Panthera onca ; Felis onca 	 animal 
 канифоль ; смола 	 resin ; rosin 	 biology 
 расположение ; размещение 	 administration ; disposal 	 direction 
 обмен веществ ; метаболизм 	 metabolism ; metabolic process 	 biological process 
 ветряная мельница 	 windmill ; aerogenerator ; wind generator 	 device 
 сантиметр 	 centimeter ; centimetre ; cm 	
 дом 	 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 house 
 одуванчик 	 dandelion ; blowball 	 herb 
 куколка 	 doll ; dolly 	
 джоуль 	 joule ; J ; watt second 	 physics 
 Колизей 	 Colosseum ; Amphitheatrum Flavium 	
 настольный теннис 	 table tennis ; Ping-Pong 	
 сельдь 	 herring ; Clupea harangus 	 animal 
 Моллюски 	 Mollusca ; phylum Mollusca 	
 Пояс Койпера 	 Kuiper belt ; Edgeworth-Kuiper belt 	 part 
 четверть 	 one-fourth ; fourth ; one-quarter ; quarter ; fourth part ; twenty-five percent ; quartern 	 mathematics 
 Астана 	 Astana ; Akmola ; capital of Kazakhstan 	 capital_city 
 источник ; ключ 	 fountain 	 structure 
 плотник ; столяр 	 carpenter 	 profession 
 Тбилиси 	 Tbilisi ; Tiflis ; capital of Georgia 	 capital_city 
 бросать ; кидать 	 throw 	 verb 
 GPS 	 Global Positioning System ; GPS 	
 выгода ; прибыль 	 gain 	 accounting 
 тростник ; камыш 	 reed 	 music 
 свастика 	 swastika ; Hakenkreuz 	
 Лагос 	 Lagos 	
 программирование 	 programming ; programing ; computer programming ; computer programing 	 computers 
 сидеть 	 sit ; sit down 	 verb 
 наказание 	 fine ; mulct ; amercement 	 business 
 рутений 	 ruthenium ; Ru ; atomic number 44 	 chemistry 
 тантал 	 tantalum ; Ta ; atomic number 73 	 chemistry 
 температура кипения 	 boiling point ; boil 	
 Вебер, Эмиль Максимилиан 	 Weber ; Max Weber 	 person 
 осмий 	 osmium ; Os ; atomic number 76 	 chemistry 
 исправлять ; чинить ; починить 	 repair ; mend ; fix ; bushel ; doctor ; furbish up ; restore ; touch on 	 mechanical_engineering 
 Пиренейский полуостров 	 Iberian Peninsula ; Iberia 	
 уховёртка 	 earwig 	 animal 
 кобра ; очковая змея 	 cobra 	 animal 
 мэр 	 mayor ; city manager 	 profession 
 минута ; момент ; миг ; мгновение 	 moment ; mo ; minute ; second ; bit 	 time 
 см. morse code 	 Morse ; Morse code ; international Morse code 	
 пуля 	 bullet ; slug 	 military 
 анемия ; малокровие 	 anemia ; anaemia 	 medicine 
 крещение 	 baptism 	 religion 
 сфера 	 sphere 	 mathematics 
 куропатка 	 partridge 	 animal 
 сумерки 	 twilight ; dusk ; gloaming ; gloam ; nightfall ; evenfall ; fall ; crepuscule ; crepuscle 	 nature 
 произношение 	 pronunciation 	 linguistics 
 высота 	 altitude ; height 	 abstract 
 пятнышко ; крапинка 	 atom ; molecule ; particle ; corpuscle ; mote ; speck 	 linguistics 
 какао 	 cocoa 	 drink 
 кухня 	 kitchen 	 house 
 циклон 	 cyclone 	 nature 
 билетный контролёр ; билетёр 	 helicopter ; chopper ; whirlybird ; eggbeater 	 transport 
 технологический процесс ; процедура 	 procedure ; process 	 mathematics 
 хромосома 	 chromosome 	 genetics 
 перепел 	 quail 	 animal 
 Босфор 	 Bosporus 	
 залог безопасности 	 palladium ; Pd ; atomic number 46 	 chemistry 
 Ханой 	 Hanoi ; capital of Vietnam 	 capital_city 
 ром 	 rum 	 drink 
 Фудзи 	 Fuji ; Mount Fuji ; Fujiyama ; Fujinoyama ; Fuji-san 	
 Килиманджаро 	 Kilimanjaro ; Mount Kilimanjaro 	
 мумия 	 mummy 	
 могила 	 grave ; tomb 	 spot 
 Сиэтл 	 Seattle 	
 усы 	 mustache ; moustache 	 anatomy 
 Евфрат 	 Euphrates ; Euphrates River 	
 адмирал 	 admiral ; full admiral 	 military 
 впечатление 	 impression ; feeling ; belief ; notion ; opinion 	 thought 
 покупать 	 buy ; purchase 	 verb 
 контроль ; проверка ; пособие 	 check ; bank check ; cheque 	 business 
 Лист, Ференц 	 Liszt ; Franz Liszt 	 person 
 Тулуза 	 Toulouse 	 city 
 проект ; план 	 project ; projection 	 abstract 
 разрешение ; позволение 	 permission 	
 Корсика 	 Corse ; Corsica 	
 молитва 	 prayer ; supplication 	 religion 
 Хартум 	 Khartoum ; capital of Sudan 	 capital_city 
 классическая музыка 	 classical music ; classical ; serious music 	 music 
 мутация 	 mutation ; genetic mutation ; chromosomal mutation 	 biology 
 Волгоград 	 Volgograd ; Stalingrad ; Tsaritsyn 	 city 
 Нагасаки 	 Nagasaki 	 city 
 приезд ; прибытие ; приход 	 orgasm ; climax ; sexual climax ; coming 	 medicine 
 снисходительность ; терпеливость ; терпение 	 patience ; forbearance ; longanimity 	 character 
 профессия журналиста 	 journalism 	
 грубый ; невоспитанный человек ; грубиян 	 savage ; barbarian 	 history 
 тяжёлый труд 	 labor ; labour ; toil 	 business 
 разница 	 difference 	 abstract 
 дёготь ; смола 	 pitch ; tar 	
 переводчик 	 interpreter ; translator 	 linguistics 
 очевидец 	 witness ; witnesser ; informant 	 law 
 архиепископ 	 archbishop 	 profession 
 принц 	 prince 	
 трон 	 throne 	
 комедия 	 comedy 	 literature 
 огромный 	 huge ; immense ; vast ; Brobdingnagian 	
 пишущая машинка 	 typewriter 	
 текст 	 text ; textual matter 	 linguistics 
 Гефест 	 Hephaestus ; Hephaistos 	 mythology 
 температура плавления 	 freezing point ; melting point 	 physics 
 бокс 	 boxing ; pugilism ; fisticuffs 	
 Тор 	 Thor 	 mythology 
 тропосфера 	 troposphere 	 meteorology 
 страна 	 region 	 ecology 
 рабство 	 slavery ; slaveholding 	
 чудовище 	 monster 	 mythology 
 артиллерия 	 artillery ; artillery unit 	 military 
 клиент 	 client 	 society 
 авторское право 	 copyright ; right of first publication 	 law 
 христианка ; христианин 	 Christian 	
 Джеймс Бонд 	 Bond ; James Bond 	
 композитор 	 composer 	 profession 
 водородный показатель 	 pH ; pH scale 	 chemistry 
 личинка ; гусеница 	 larva 	 creature 
 Хрущёв, Никита Сергеевич 	 Khrushchev ; Nikita Khrushchev ; Nikita Sergeyevich Khrushchev 	 person 
 приход ; доход 	 income 	 business 
 шкаф 	 cupboard ; closet 	 house 
 престол ; алтарь 	 altar ; communion table ; Lord's table 	 religion 
 оазис 	 oasis 	 geology 
 запрещение 	 prohibition ; ban ; proscription 	 order 
 америций 	 americium ; Am ; atomic number 95 	 chemistry 
 знак 	 signal ; signaling ; sign 	 communication 
 рекомендация 	 recommendation ; testimonial ; good word 	 career 
 белый медведь 	 ice bear ; polar bear ; Ursus Maritimus ; Thalarctos maritimus 	 animal 
 ритуал ; обряд 	 ceremony ; ceremonial ; ceremonial occasion ; observance 	 religion 
 кварц 	 quartz 	 geology 
 американский лось 	 elk ; European elk ; moose ; Alces alces 	 animal 
 успех ; удача 	 success 	 society 
 удел ; судьба 	 destiny ; fate 	 natural event 
 ананас 	 pineapple ; ananas 	 botany 
 аббатство 	 abbey 	
 кофеин 	 caffeine ; caffein 	 substance 
 вишня 	 cherry 	 fruit 
 десерт 	 dessert ; sweet ; afters 	 food 
 утренний завтрак 	 breakfast 	 food 
 согласный звук 	 consonant 	 linguistics 
 морфология 	 morphology ; geomorphology 	 linguistics 
 сейсмология 	 seismology 	 physics 
 Эмилия-Романья 	 Emilia-Romagna 	
 комплексное число 	 complex number ; complex quantity ; imaginary number ; imaginary 	 mathematics 
 Пангея 	 Pangaea ; Pangea 	
 Катманду 	 Kathmandu ; Katmandu ; capital of Nepal 	 capital_city 
 конспект ; сокращение 	 prototype ; paradigm ; epitome ; image 	 linguistics 
 девяносто 	 ninety ; 90 ; xc 	 number 
 Саскачеван 	 Saskatchewan 	
 естественные науки 	 natural science 	
 Каймановы острова 	 Cayman Islands 	
 батарея 	 battery ; electric battery 	 device 
 Брно 	 Brno ; Brunn 	
 Ибсен, Генрик 	 Ibsen ; Henrik Ibsen ; Henrik Johan Ibsen 	 person 
 паспорт 	 passport 	 object 
 Алжир 	 Algiers ; Algerian capital 	 city 
 Кито 	 Quito ; capital of Ecuador 	 capital_city 
 идеология ; мировоззрение 	 political orientation ; ideology ; political theory 	 diplomacy 
 Троя 	 Troy ; Ilion ; Ilium 	 city 
 предвзятое мнение ; предубеждение ; предрассудок 	 bias ; prejudice ; preconception 	 statistics 
 Кампания 	 Campania 	
 либерализм 	 liberalism 	
 Лигурия 	 Liguria 	
 Де Ниро, Роберт 	 De Niro ; Robert De Niro 	
 диван ; софа 	 sofa ; couch ; lounge 	 furniture 
 Гиммлер, Генрих 	 Himmler ; Heinrich Himmler 	 person 
 тхэквондо 	 tae kwon do ; taekwondo 	
 гормон 	 hormone ; endocrine ; internal secretion 	 biology 
 яичко 	 testis ; testicle ; orchis ; ball ; ballock ; bollock ; nut ; egg 	 anatomy 
 Монро, Джеймс 	 Monroe ; James Monroe ; President Monroe 	 person 
 кокаин 	 cocaine ; cocain 	
 онанизм 	 masturbation ; onanism 	 sex 
 убежище 	 refuge ; sanctuary ; asylum 	
 Гюйгенс, Христиан 	 Huygens ; Christiaan Huygens ; Christian Huygens 	 person 
 спутник 	 satellite ; artificial satellite ; orbiter 	 astronomy 
 Калигула 	 Caligula ; Gaius ; Gaius Caesar 	
 патент 	 patent ; patent of invention 	 accounting 
 Гоббс, Томас 	 Hobbes ; Thomas Hobbes 	 person 
 нищий 	 beggar ; mendicant 	
 свежий 	 fresh 	 adjective 
 Дюма 	 Dumas ; Alexandre Dumas 	 person 
 оригами 	 origami 	
 Овидий, Публий Назон 	 Ovid ; Publius Ovidius Naso 	
 липиды 	 lipid ; lipide ; lipoid 	 biology 
 аллергия 	 allergy ; allergic reaction 	 health 
 лантан 	 lanthanum ; La ; atomic number 57 	 chemistry 
 пушка 	 cannon 	 military 
 Книга Бытие 	 Genesis ; Book of Genesis 	
 Троянская война 	 Trojan War 	 mythology 
 Занзибар 	 Zanzibar 	
 атомная масса 	 atomic mass ; atomic weight ; relative atomic mass 	 chemistry 
 Грант, Улисс 	 Grant ; Ulysses Grant ; Ulysses S. Grant ; Ulysses Simpson Grant ; Hiram Ulysses Grant ; President Grant 	 person 
 глупый ; бестолковый ; тупой 	 stupid 	 adjective 
 миф 	 myth 	 literature 
 ассоциация 	 association 	 society 
 воздушный змей 	 kite 	
 момент ; мгновение 	 moment ; minute ; second ; instant 	 mathematics 
 Северная Африка 	 North Africa 	
 лодыжка 	 ankle ; ankle joint ; mortise joint ; articulatio talocruralis 	 anatomy 
 неврология 	 neurology ; clinical neurology 	 medicine 
 качество ; свойство 	 quality ; character ; lineament 	 abstract 
 Траян 	 Trajan ; Marcus Ulpius Traianus 	
 Кейптаун 	 Cape Town 	
 Хайдеггер, Мартин 	 Heidegger ; Martin Heidegger 	 person 
 выбор 	 choice ; selection ; option ; pick 	 abstract 
 Спарта 	 Sparta 	 city 
 Могадишо 	 Mogadishu ; Mogadiscio ; capital of Somalia 	 capital_city 
 уже 	 already 	 adverb 
 Шуберт, Франц 	 Schubert ; Franz Schubert ; Franz Peter Schubert ; Franz Seraph Peter Schubert 	 person 
 Тесла, Никола 	 Tesla ; Nikola Tesla 	 person 
 семь 	 seven ; 7 ; vii 	 number 
 карп 	 carp 	 animal 
 обучать 	 teach ; learn ; instruct 	 verb 
 геральдика ; гербоведение 	 heraldry 	
 художник 	 artist ; creative person 	 profession 
 Карачи 	 Karachi 	 city 
 Абхазия 	 Abkhaz ; Abkhazia 	
 Абиджан 	 Abidjan 	 city 
 рабство 	 bondage ; slavery ; thrall ; thralldom ; thraldom 	
 Луанда 	 Luanda ; Angolan capital 	 city 
 лабиринт 	 maze ; labyrinth 	 anatomy 
 принимать ; соглашаться 	 accept ; take ; have 	 verb 
 защита 	 protection 	 transport 
 отрасль ; область ; секция ; отделение 	 department ; section 	 society 
 биосфера 	 biosphere 	 biology 
 плакат ; объявление ; афиша 	 poster ; posting ; placard ; notice ; bill ; card 	 object 
 крепкий ; прочный 	 solid ; strong ; substantial 	
 особ. жеребец ; некастрированное животное 	 stallion ; entire 	
 мебель 	 furniture ; piece of furniture ; article of furniture 	 house 
 половина 	 one-half ; half 	 mathematics 
 расторжение брака ; развод 	 divorce ; divorcement 	 law 
 испытательный ; пробный 	 test ; trial ; run 	 mathematics 
 преимущество 	 advantage ; vantage 	 abstract 
 Виктория 	 Lake Victoria ; Victoria Nyanza 	
 филателия 	 philately ; stamp collecting ; stamp collection 	 aggregation 
 чернота 	 black ; blackness ; inkiness 	 color 
 кинематограф ; кино ; кинематография ; кинотеатр 	 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 city 
 Кромвель, Оливер 	 Cromwell ; Oliver Cromwell ; Ironsides 	 person 
 Большой барьерный риф 	 Great Barrier Reef 	
 кентавр 	 centaur 	 mythology 
 искра 	 spark 	
 судоходство ; плавание ; мореходство 	 navigation ; pilotage ; piloting 	 astronomy 
 вандализм ; варварство 	 vandalism ; hooliganism ; malicious mischief 	 law 
 Темза 	 Thames ; River Thames ; Thames River 	
 Мунк, Эдвард 	 Munch ; Edvard Munch 	 person 
 лётчик 	 George ; Saint George ; St. George 	
 канал 	 channel 	 logistics 
 совесть 	 conscience ; scruples ; moral sense ; sense of right and wrong 	 religion 
 демография 	 demography ; human ecology 	 marketing 
 шиферный молоток 	 sax ; saxophone 	 music 
 ледяная гора ; айсберг 	 iceberg ; berg 	 ecology 
 процессор 	 central processing unit ; CPU ; C.P.U. ; central processor ; processor ; mainframe 	 device 
 яичник 	 ovary 	 anatomy 
 гинекология 	 gynecology ; gynaecology 	
 Фолкнер, Уильям 	 Faulkner ; William Faulkner ; William Cuthbert Faulkner ; Falkner ; William Falkner 	 person 
 айкидо 	 aikido 	
 Финский залив 	 Gulf of Finland 	
 лёд 	 ice 	 nature 
 локомотив 	 locomotive ; engine ; locomotive engine ; railway locomotive 	 device 
 специя ; пряность 	 spice 	 seasoning 
 Аравийское море 	 Arabian Sea 	
 гидравлика 	 fluid mechanics ; hydraulics 	 physics 
 Колосс Родосский 	 Colossus of Rhodes 	
 известь 	 calcium hydroxide ; lime ; slaked lime ; hydrated lime ; calcium hydrate ; caustic lime ; lime hydrate 	 construction 
 морж 	 walrus ; seahorse ; sea horse 	 animal 
 Содружество Независимых Государств 	 Commonwealth of Independent States ; CIS 	
 гриф ; хищник 	 vulture 	 animal 
 собственноручно написанный документ ; рукопись 	 manuscript ; holograph 	
 торий 	 thorium ; Th ; atomic number 90 	 chemistry 
 ласка 	 weasel 	 animal 
 Лангедок-Руссильон 	 Languedoc-Roussillon 	
 теорема 	 theorem 	 mathematics 
 шкура 	 fur ; pelt 	 substance 
 гильотина 	 guillotine 	
 Монтсеррат 	 Montserrat 	
 Маккартни, Пол 	 McCartney ; Paul McCartney ; Sir James Paul McCartney 	
 Джексон, Эндрю 	 Jackson ; Andrew Jackson ; Old Hickory 	 person 
 ниобий 	 niobium ; Nb ; atomic number 41 	 chemistry 
 цифра 	 numeral ; number 	 linguistics 
 Никосия 	 Nicosia ; capital of Cyprus 	 capital_city 
 Дортмунд 	 Dortmund 	
 крест 	 cross 	 mechanical_engineering 
 свирепый ; жестокий ; беспощадный 	 ferocious ; fierce ; furious ; savage 	 descriptive_adjectives 
 правописание ; орфография 	 orthography ; writing system 	 linguistics 
 число авогадро 	 Avogadro's number ; Avogadro number 	
 глоток ; ласточка 	 swallow 	 animal 
