 tai 	 against 	 preposition 
 oru 	 break ; break off ; discontinue ; stop 	 end 
 hizo_ 	 spleen ; lien 	 anatomy 
 rokaki 	 filter 	 device 
 kanshin 	 satisfaction 	 economics 
 shakkanin 	 tenant ; renter 	 law 
 ukibori 	 relief ; relievo ; rilievo ; embossment ; sculptural relief 	
 cho_tsugai 	 hinge ; flexible joint 	 object 
 yoho_ 	 prognosis ; forecast 	 medicine 
 senkyoken 	 right to vote ; vote ; suffrage 	
 hidokei 	 sundial 	 device 
 sokkijutsu 	 shorthand ; stenography ; tachygraphy 	
 shu_hainin 	 mailman ; postman ; mail carrier ; letter carrier ; carrier 	 profession 
 hikitsukeru 	 attract ; pull ; pull in ; draw ; draw in 	 force 
 nyu_ko_ 	 frankincense ; olibanum ; gum olibanum ; thus 	
 kamisori 	 razor 	 object 
 sen 	 plug ; stopper ; stopple 	 mechanical_engineering 
 shikiso 	 pigment 	 art 
 yu_ri 	 separation 	
 igi 	 meaning ; significance ; signification ; import 	 linguistics 
 katai 	 firm ; steadfast ; steady ; stiff ; unbendable ; unfaltering ; unshakable ; unwavering 	 character 
 kotenshugi 	 classicism ; classicalism 	
 koshinuke 	 coward 	 individual 
 meijiru 	 command 	
 hindo 	 frequency ; frequence ; oftenness 	 insurance 
 junko_sen 	 cruiser 	 transport 
 su_gakusha 	 mathematician 	 mathematics 
 yasumi 	 respite ; recess ; break ; time out 	 abstract 
 toride 	 fortress ; fort 	 construction 
 motsu 	 transport ; carry 	 verb 
 teiketsu 	 chastity ; celibacy ; sexual abstention 	 sex 
 yasashii 	 affectionate ; fond ; lovesome ; tender ; warm 	 character 
 zukin 	 hood ; bonnet ; cowl ; cowling 	 transport 
 shido_in 	 adviser ; advisor ; consultant 	 profession 
 kyo_ko_ 	 panic ; scare 	
 cho_sen 	 challenge 	 law 
 kekkonshiki 	 wedding ; wedding ceremony ; nuptials ; hymeneals 	 family 
 miyabita 	 elegant 	
 tsuminonai 	 innocent ; guiltless ; clean-handed 	 character 
 dani 	 tick 	 animal 
 inchi 	 inch ; in 	 mechanical_engineering 
 nonki 	 careless 	
 mendo_ 	 difficulty 	 abstract 
 katsute 	 once ; one time ; in one case 	 adverb 
 unubore 	 amour propre ; conceit ; self-love ; vanity 	
 jissenteki 	 practical 	 career 
 kanashiki 	 anvil 	 mechanical_engineering 
 zaidan 	 foundation 	 accounting 
 monoyawaraka 	 mild 	 weather 
 chu_ibukai 	 careful 	
 ejiki 	 prey ; quarry 	 creature 
 kaiho_ 	 emancipation 	
 oogama 	 scythe 	 agriculture 
 furo_sha 	 vagrant ; drifter ; floater ; vagabond 	
 shinrigakusha 	 psychologist 	 profession 
 takusan 	 many 	 adjective 
 obotsukanai 	 doubtful ; dubious ; dubitable ; in question 	
 miburi 	 gesture 	 motion 
 yurusu 	 forgive 	 verb 
 kyokin 	 contribution ; part ; share 	 logistics 
 nagusame 	 consolation ; comfort ; solace 	 religion 
 hadaai 	 disposition ; temperament 	 character 
 tsu_fu_ 	 gout ; gouty arthritis ; urarthritis 	 medicine 
 yatoinin 	 employee 	 profession 
 ko_bo_ 	 workshop ; shop 	 finance 
 yogensha 	 prophet ; prophesier ; oracle ; seer ; vaticinator 	 profession 
 enjin 	 eunuch ; castrate 	 man 
 sharakusai 	 fresh ; impertinent ; impudent ; overbold ; smart ; saucy ; sassy ; wise 	 character 
 hyo_chu_ 	 icicle 	
 okappiki 	 detective ; investigator ; tec ; police detective 	 profession 
 meihaku 	 obvious 	
 cho_ko_ 	 sculptor ; sculpturer ; carver ; statue maker 	 profession 
 yu_ 	 pronounce ; articulate ; enounce ; sound out ; enunciate ; say 	 linguistics 
 ashidori 	 gait 	
 mayoke 	 amulet ; talisman 	 jewelry 
 ikon 	 hostility ; enmity ; ill will 	 military 
 yoyaku 	 booking ; reservation 	 ecology 
 erai 	 distinguished 	
 gunkan 	 warship ; war vessel ; combat ship 	
 tekishu 	 rival ; challenger ; competitor ; competition ; contender 	 business 
 susumeru 	 recommend ; urge ; advocate 	
 oseji 	 compliment 	
 tsutsumashii 	 humble 	 character 
 ko_gyokuseki 	 topaz 	 jewelry 
 ito 	 string 	 music 
 kanbetsu 	 discrimination ; favoritism ; favouritism 	 psychology 
 kyo_fu 	 godfather 	 family 
 hanchu_ 	 class ; category ; family 	 linguistics 
 danbo_ 	 heating system ; heating plant ; heating ; heat 	 travelling 
 shin 	 wick ; taper 	
 shimeri 	 humidity ; humidness 	 nature 
 mutsuki 	 diaper ; nappy ; napkin 	 garment 
 mitomeru 	 admit ; acknowledge 	 verb 
 hisui 	 kingfisher 	 animal 
 nigiriya 	 miser 	
 do_teki 	 dynamic ; dynamical 	 art 
 joshu 	 assistant ; helper ; help ; supporter 	 profession 
 kinshu 	 abstinence ; abstention 	 psychology 
 fujo 	 support ; keep ; livelihood ; living ; bread and butter ; sustenance 	 biology 
 numa 	 bog ; peat bog 	 nature 
 bokusha 	 stable ; stalls ; horse barn 	 agriculture 
 shindo_ 	 oscillation 	 mathematics 
 tanoshii 	 enjoyable ; gratifying ; pleasurable 	
 tan'o 	 corruptness ; corruption 	 law 
 so_gen 	 savanna ; savannah 	 nature 
 yatsu 	 chap ; fellow ; feller ; fella ; lad ; gent ; blighter ; cuss ; bloke 	
 mahi 	 paralysis ; palsy 	 medicine 
 jihaku 	 confession 	
 semaru 	 press 	 verb 
 kujo 	 extinction ; extermination 	
 mitsuro_ 	 beeswax 	
 sho_sha 	 winner ; victor 	 sports 
 ko_kan 	 exchange ; interchange 	 logistics 
 koyashi 	 droppings ; dung ; muck 	
 mei 	 niece 	 family 
 ko_bo_ 	 studio 	 movies 
 ho_do_kikan 	 fourth estate 	
 sessho_ 	 negotiation ; dialogue ; talks 	 marketing 
 shukketsu 	 bleeding ; hemorrhage ; haemorrhage 	 hurt 
 hozon 	 conservation 	 physics 
 gohenkei 	 pentagon 	 geometry 
 sho_sha 	 firm ; house ; business firm 	 business 
 jubaku 	 spell ; magic spell ; magical spell ; charm 	 mythology 
 kagami 	 model ; theoretical account ; framework 	 biology 
 han'ei 	 reflection ; reflexion 	 physics 
 meno_ 	 agate 	 substance 
 ikyo_to 	 heathen ; pagan ; gentile ; infidel 	 religion 
 sho_hin 	 merchandise ; ware ; product 	 society 
 gino_sha 	 technician 	 profession 
 senkyo_shi 	 missionary ; missioner 	 history 
 su 	 lair ; den 	
 meimeiho_ 	 terminology ; nomenclature ; language 	 linguistics 
 kisho_ 	 badge 	 police 
 kanbatsu 	 drought ; drouth 	 nature 
 sho_daku 	 assent ; acquiescence 	
 sho_ten 	 focus ; focal point 	 art 
 ko_jo_ 	 advancement ; progress 	 development 
 ko_ika 	 cuttlefish ; cuttle 	 animal 
 hageshii 	 acute ; intense 	 descriptive_adjectives 
 agarikomu 	 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 verb 
 sennuki 	 corkscrew ; bottle screw 	
 tanken 	 exploration 	 astronomy 
 baishunfu 	 prostitute ; cocotte ; whore ; harlot ; bawd ; tart ; cyprian ; fancy woman ; working girl ; sporting lady ; lady of pleasure ; woman of the street 	 profession 
 hanashiau 	 hash out ; discuss ; talk over 	 verb 
 sasageru 	 sacrifice 	 religion 
 ko_kei 	 bore ; gauge ; caliber ; calibre 	 mechanical_engineering 
 raiu 	 thunderstorm ; electrical storm ; electric storm 	 meteorology 
 un'you 	 application ; practical application 	 society 
 ruikeiteki 	 typical 	
 sotchixyuu 	 stroke ; apoplexy ; cerebrovascular accident ; CVA 	 attack 
 mitsukeru 	 detect ; observe ; find ; discover ; notice 	 verb 
 tsuneru 	 pinch ; squeeze ; twinge ; tweet ; nip ; twitch 	
 ryu_danho_ 	 mortar ; howitzer ; trench mortar 	 chemistry 
 hima 	 leave ; leave of absence 	 society 
 chiisai 	 bantam ; diminutive ; lilliputian ; midget ; petite ; tiny ; flyspeck 	 descriptive_adjectives 
 go_ho_teki 	 legal 	 adjective 
 onoono 	 each 	 adjective 
 kankyaku 	 audience 	 assemblage 
 shingen 	 proposal 	 abstract 
 iyashimu 	 contemn ; despise ; scorn ; disdain 	
 tansho 	 disadvantage 	
 kokuyu_ka 	 nationalization ; nationalisation ; communization ; communisation 	 economics 
 u 	 cormorant ; Phalacrocorax carbo 	 animal 
 chikatetsu 	 metro ; tube ; underground ; subway system ; subway 	 transport 
 dokugo 	 soliloquy ; monologue 	 literature 
 tatetsuku 	 resist ; hold out ; withstand ; stand firm 	
 kinenhin 	 memento ; souvenir 	 travelling 
 tayasu 	 uproot ; eradicate ; extirpate ; root out ; exterminate 	 garden 
 shin'an 	 novelty ; freshness 	
 yuitsu 	 singular ; unique 	 mathematics 
 sekiban 	 lithography 	
 shu_chu_ 	 concentration 	 chemistry 
 sonaetsukeru 	 supply ; provide ; render ; furnish 	 verb 
 seiren 	 honesty ; honestness 	 character 
 kamigata 	 hairdo ; hairstyle ; hair style ; coiffure ; coif 	
 kyo_ki 	 lunacy ; madness ; insaneness 	
 ku_do_ 	 cavity ; enclosed space 	 biology 
 ko_gyo_ka 	 industrialization ; industrialisation ; industrial enterprise 	
 shinbo_dzuyoi 	 patient 	 adjective 
 kansho_teki 	 sentimental 	
 hyo_shaku 	 comment ; commentary 	 computers 
 airen 	 sympathy ; understanding 	 character 
 tsumisuru 	 sentence ; condemn ; doom 	
 eishaki 	 projector 	 movies 
 rikkyakuten 	 point of view ; viewpoint ; stand ; standpoint 	 art 
 atsukai 	 treatment ; handling 	 abstract 
 horobosu 	 destroy ; ruin 	 military 
 kato_ 	 fructose ; fruit sugar ; levulose ; laevulose 	 chemistry 
 hifukagaku 	 dermatology 	 medicine 
 reppu 	 heroine 	 mythology 
 shitsujun 	 damp ; dampness ; moistness 	 construction 
 omotemuki 	 official 	 diplomacy 
 hasseigaku 	 embryology 	
 urayamu 	 envy 	
 inshu_ 	 convention 	
 teko 	 lever 	 object 
 shutten 	 expose ; exhibit ; display 	 art 
 aenai 	 tragic ; tragical 	
 arifureta 	 banal ; commonplace ; hackneyed ; old-hat ; shopworn ; stock ; threadbare ; timeworn ; tired ; trite ; well-worn 	
 torishiraberu 	 examine ; see 	 medicine 
 soshiru 	 defame ; slander ; smirch ; asperse ; denigrate ; calumniate ; smear ; sully ; besmirch 	 charge 
 mo_shiawase 	 date ; appointment ; engagement 	 relations 
 shitto_ 	 injustice ; unjustness 	
 zanbutsu 	 leftover ; remnant 	
 ureshii 	 glad 	
 kedashi 	 probably ; likely ; in all likelihood ; in all probability ; belike 	 adverb 
 karuwaza 	 acrobatics ; aerobatics ; stunting ; stunt flying 	
 kakeru 	 bet ; wager ; play 	
 do_ka 	 assimilation ; absorption 	 nature 
 kitsuensha 	 smoker ; tobacco user 	
 shu_nyu_ 	 gross ; revenue ; receipts 	 accounting 
 kachieru 	 reach ; make ; attain ; hit ; arrive at ; gain 	 verb 
 engawa 	 veranda ; verandah ; gallery 	 construction 
 kinrin 	 vicinity ; locality ; neighborhood ; neighbourhood ; neck of the woods 	 place 
 sho_sho 	 certificate ; certification ; credential ; credentials 	
 tsukuru 	 create 	
 akumu 	 nightmare 	
 ku_so_ 	 vision 	 management 
 funinsho_ 	 sterility ; infertility 	 medicine 
 shiki 	 determination ; purpose 	 chemistry 
 o_kan 	 traffic 	 transport 
 yamashi 	 explorer ; adventurer 	 individual 
 zakkicho_ 	 notebook 	
 irodoru 	 paint 	 create 
 omotai 	 grave ; grievous ; heavy ; weighty 	
 mitooshi 	 prospect ; chance 	
 yokogao 	 profile 	 art 
 byo_ei 	 descendant ; descendent 	 relation 
 hangyaku 	 mutiny 	 military 
 keiri 	 executioner ; public executioner 	
 kai 	 party 	 society 
 rekishika 	 historian ; historiographer 	 profession 
 mukidashi 	 nakedness ; nudity ; nudeness 	 condition 
 saigen 	 boundary ; bound ; bounds 	 mathematics 
 yu_in 	 incentive ; inducement ; motivator 	 economics 
 kingyo 	 goldfish ; Carassius auratus 	 animal 
 sho_no_ 	 camphor 	 chemistry 
 kyokusho_ 	 minimum ; lower limit 	 ecology 
 nobe 	 overall 	
 todoke 	 registration ; enrollment ; enrolment 	 accounting 
 to_tetsushita 	 limpid ; lucid ; luculent ; pellucid ; crystal clear ; perspicuous 	
 waridasu 	 calculate ; cipher ; cypher ; compute ; work out ; reckon ; figure 	 mathematics 
 jakyo_ 	 paganism ; pagan religion ; heathenism 	 faith 
 atsui 	 cordial 	 descriptive_adjectives 
 suito_gakari 	 teller ; cashier ; bank clerk 	 profession 
 kokoromotonai 	 uncertain ; unsure ; incertain 	
 zenmenteki 	 cosmopolitan ; ecumenical ; oecumenical ; general ; universal ; worldwide ; world-wide 	 descriptive_adjectives 
 yu_waku 	 temptation ; enticement 	
 yakuzai 	 medicine ; medication ; medicament ; medicinal drug 	 chemistry 
 daihon 	 libretto 	 music 
 mizugi 	 swimsuit ; swimwear ; bathing suit ; swimming costume ; bathing costume 	 clothes 
 munashii 	 vacant 	
 hokan 	 interpolation 	 mathematics 
 kakeru 	 gamble ; chance ; risk ; hazard ; take chances ; adventure ; run a risk ; take a chance 	 verb 
 nobori 	 rise ; rising ; ascent ; ascension 	 abstract 
 tomomawari 	 cortege ; retinue ; suite ; entourage 	 assemblage 
 minshuteki 	 democratic 	
 neburu 	 lick ; lap 	
 tetsugakusha 	 philosopher 	
 kote 	 forearm 	 anatomy 
 jitsubutsu 	 master ; master copy ; original 	 object 
 shu_rai 	 invasion 	 history 
 neriaruku 	 march 	
 kyo_sanshugi 	 communism 	
 kukuru 	 fasten ; fix ; secure 	 transport 
 so_moku 	 vegetation ; flora ; botany 	 nature 
 kyo_en 	 fete ; feast ; fiesta 	 party 
 kanchiki 	 detector ; sensor ; sensing element 	 device 
 satoshi 	 guidance ; counsel ; counseling ; counselling ; direction 	 career 
 tehon 	 blueprint ; design ; pattern 	 object 
 aradateru 	 worsen ; aggravate ; exacerbate ; exasperate 	 alter 
 hasshingawa 	 transmitter ; sender 	 set 
 tansoku 	 sigh ; suspiration 	
 so_kyokusen 	 hyperbola 	 mathematics 
 enbu 	 waltz ; valse 	 music 
 mure 	 swarm ; cloud 	 group 
 hyo_ka 	 evaluation ; valuation ; rating 	 accounting 
 chikyu_goma 	 gyroscope ; gyro 	 device 
 wa 	 loop 	 mathematics 
 domoru 	 bumble ; stutter ; stammer ; falter 	 speak 
 iroppoi 	 erotic ; titillating 	 sex 
 shihaiken 	 domination ; mastery ; supremacy 	 control 
 kitsuen 	 smoke ; smoking 	 health 
 to_tobu 	 measure ; evaluate ; valuate ; assess ; appraise ; value 	 mathematics 
 kakuran 	 sunstroke ; insolation ; thermic fever ; siriasis 	 medical_procedure 
 bo_hatei 	 breakwater ; groin ; groyne ; mole ; bulwark ; seawall ; jetty 	 transport 
 shikifu 	 sheet ; bed sheet 	
 shinkeinosurudoi 	 sensitive 	 character 
 sashihiku 	 subtract ; deduct ; take off 	 mathematics 
 harifuda 	 notice 	
 hipparu 	 drag 	 physics 
 chikuseki 	 collection ; aggregation ; accumulation ; assemblage 	 art 
 akusha 	 pavilion ; marquee 	
 kanashimi 	 sadness ; sorrow ; sorrowfulness 	 character 
 gengogakusha 	 linguist ; linguistic scientist 	 linguistics 
 shuto_ 	 inoculation ; vaccination 	 medicine 
 to_yo_ 	 plagiarism 	 writing 
 kirara 	 mica ; isinglass 	 substance 
 katamari 	 hunk ; lump 	 construction 
 hiko_sen 	 airship ; dirigible 	 transport 
 guro_ 	 jeer ; jeering ; mockery ; scoff ; scoffing 	
 suetsukeru 	 install ; instal ; put in ; set up 	 computers 
 so_byo_ 	 mania ; manic disorder 	
 assensha 	 mediator ; go-between ; intermediator ; intermediary ; intercessor 	 real_estate 
 miokuri 	 escort ; accompaniment 	 protection 
 teigen 	 decrease ; diminution ; reduction ; step-down 	 manufacturing 
 iden 	 heredity 	 biological process 
 udemae 	 skill ; accomplishment ; acquirement ; acquisition ; attainment 	 career 
 garagarahebi 	 rattlesnake ; rattler 	 animal 
 otome 	 maid ; maiden 	 sex 
 senben 	 first step ; initiative ; opening move ; opening 	 start 
 hanasho_bu 	 iris ; flag ; fleur-de-lis ; sword lily 	 botany 
 zettaini 	 absolutely ; perfectly ; utterly ; dead 	
 shiryu_ 	 feeder ; tributary ; confluent ; affluent 	
 shitsugaikotsu 	 patella ; kneecap ; kneepan 	 anatomy 
 kyo_i 	 wonder ; wonderment ; admiration 	 religion 
 isakau 	 quarrel ; dispute ; scrap ; argufy ; altercate 	 police 
 machimachi 	 diverse ; various 	 adjective 
 sanagi 	 pupa 	 insect 
 aokusai 	 immature 	
 insho_ 	 citation ; cite ; acknowledgment ; credit ; reference ; mention ; quotation 	 linguistics 
 utsusu 	 infect 	 nature 
 suetsuke 	 installation ; installing ; installment ; instalment 	 construction 
 adana 	 nickname ; moniker ; cognomen ; sobriquet ; soubriquet ; byname 	 linguistics 
 daishi 	 cardboard ; composition board 	
 hondoori 	 avenue ; boulevard 	
 taihi 	 compost 	 agriculture 
 shiraberu 	 investigate ; inquire ; enquire 	 police 
 nabiku 	 obey 	
 chiyu 	 remedy ; curative ; cure ; therapeutic 	 health 
 ju_kan 	 sodomy ; buggery ; anal sex ; anal intercourse 	 medicine 
 seirensho 	 refinery 	
 ko_taku 	 polish ; gloss ; glossiness ; burnish 	 art 
 shien 	 rehearsal ; dry run 	 mechanical_engineering 
 yotsutsuji 	 intersection ; crossroad ; crossway ; crossing ; carrefour 	 transport 
 to_toi 	 consecrated ; sacred ; sanctified 	 religion 
 joyu_ 	 actress 	 profession 
 katari 	 fraud ; fraudulence ; dupery ; hoax ; humbug ; put-on 	 law 
 ketteiteki 	 decisive 	
 daben 	 nonsense ; bunk ; nonsensicality ; meaninglessness ; hokum 	 content 
 sho_shin 	 grief ; heartache ; heartbreak ; brokenheartedness 	
 kyo_tei 	 textbook ; text ; text edition ; schoolbook ; school text 	
 yo_ran 	 handbook ; enchiridion ; vade mecum 	
 bakuyaku 	 explosive 	 military 
 kurumi 	 walnut 	 world 
 osanai 	 childish ; infantile 	
 ozomashii 	 disgusting ; disgustful ; distasteful ; foul ; loathly ; loathsome ; repellent ; repellant ; repelling ; revolting ; skanky ; wicked ; yucky 	 descriptive_adjectives 
 yaru 	 perform ; execute ; do 	
 senkoku 	 verdict ; finding of fact 	 law 
 kyokudai 	 maximum ; upper limit 	 ecology 
 iri 	 capacity ; content 	 physics 
 to_hi 	 escape ; flight 	 military 
 sunadokei 	 hourglass 	
 cho_shokuban 	 palette ; pallet 	 art 
 o 	 strap 	 object 
 bapponteki 	 drastic 	
 mokuromu 	 plan ; be after 	 logistics 
 negainushi 	 applicant ; applier 	 individual 
 keizaiteki 	 economic 	 adjective 
 giwaku 	 intuition ; hunch ; suspicion 	 feeling 
 itamu 	 ache ; smart ; hurt 	
 kyo_chikuto_ 	 oleander ; rose bay ; Nerium oleander 	 botany 
 mo_moku 	 blindness ; sightlessness ; cecity 	
 hokyu_ 	 provision ; supply ; supplying 	 activity 
 tsu_fu_ki 	 ventilator 	 device 
 no_en 	 plantation 	 land 
 muchiutsu 	 flog ; welt ; whip ; lather ; lash ; slash ; strap ; trounce 	 beat 
 seppou 	 sermon ; discourse ; preaching 	 religion 
 kyo_kotsu 	 sternum ; breastbone 	 anatomy 
 kagayaki 	 radiance ; radiancy ; shine ; effulgence ; refulgence ; refulgency 	
 josho_ 	 prologue 	 literature 
 hakujaku 	 infirmity ; frailty ; debility ; feebleness ; frailness ; valetudinarianism 	
 mo_keru 	 establish ; found ; plant ; constitute ; institute 	 verb 
 daisho_ 	 compensation 	 accounting 
 arigatai 	 grateful ; thankful 	 character 
 eikyo_ 	 influence 	 history 
 shareta 	 stylish ; fashionable 	 adjective 
 dabokusho_ 	 bruise ; contusion 	 health 
 kyo_katsu 	 blackmail 	 law 
 kyu_go 	 relief ; succor ; succour ; ministration 	
 yu_kitai 	 organism ; being 	 nature 
 nikuhitsu 	 autograph 	 writing 
 dangai 	 accusation ; accusal 	 charge 
 zankon 	 scar ; cicatrix ; cicatrice 	 health 
 fusho_daku 	 refusal 	
 ho_i 	 placenta 	 anatomy 
 idenshigata 	 genotype 	 genetics 
 shokuryo_hin 	 foodstuff ; food product 	
 kansetsuen 	 arthritis 	 medicine 
 funinjo_ 	 atrocity ; inhumanity 	
 ayumiyori 	 compromise 	
 shinjiru 	 believe ; trust 	 real_estate 
 itchi 	 accord ; conformity ; accordance 	
 ainoko 	 hybrid ; crossbreed ; cross 	 being 
 shu_nen 	 anniversary ; day of remembrance 	 travelling 
 jo_sei 	 antiquity 	
 setsumei 	 explanation ; account 	 statement 
 taiiho_ 	 counterpoint 	 music 
 dairisha 	 deputy ; lieutenant 	 profession 
 buso_ 	 arming ; armament ; equipping 	 military 
 kaichu_dento_ 	 flashlight ; torch 	 device 
 chirigakusha 	 geographer 	 profession 
 kakitori 	 dictation 	
 kuroten 	 sable ; Martes zibellina 	 animal 
 memai 	 dizziness ; giddiness ; lightheadedness ; vertigo 	 symptom 
 fusezei 	 ambush ; ambuscade ; lying in wait ; trap 	 military 
 kobuta 	 piglet ; piggy ; shoat ; shote 	
 homura 	 blaze ; blazing 	 fire 
 shinkeisho_ 	 neurosis ; neuroticism ; psychoneurosis 	 medicine 
 chippuku 	 hibernation 	
 tokuten 	 prerogative ; privilege ; perquisite ; exclusive right 	 business 
 haishi 	 abrogation ; repeal ; annulment 	 accounting 
 so_rui 	 seaweed 	 botany 
 kigyo_rengo_ 	 trust ; corporate trust ; combine ; cartel 	 business 
 kyo_tan 	 admiration ; esteem 	
 suberu 	 oversee ; supervise ; superintend ; manage 	
 mushizu 	 heartburn ; pyrosis 	 medicine 
 tenka 	 transformation ; translation 	 linguistics 
 ryoko_ 	 travel ; traveling ; travelling 	 transport 
 katsuzai 	 lubricant ; lubricator ; lubricating substance ; lube 	 automobiles 
 jado_ 	 unorthodoxy ; heterodoxy ; heresy 	 religion 
 himaku 	 capsule 	 botany 
 ko_gyoku 	 corundom ; corundum 	 mechanical_engineering 
 odosu 	 threaten 	 military 
 shinsetsushin 	 kindness 	 character 
 daihyo_dan 	 deputation ; commission ; delegation ; delegacy ; mission 	 society 
 issunbo_shi 	 dwarf ; midget ; nanus 	
 waribiki 	 rebate ; discount 	 business 
 inkyoku 	 cathode 	 device 
 kinjito_ 	 pyramid 	 geometry 
 shimentai 	 tetrahedron 	 geometry 
 taihai 	 degeneracy ; degeneration ; decadence ; decadency 	
 nyo_so 	 urea ; carbamide 	 chemistry 
 hantaisha 	 dissenter ; dissident ; protester ; objector ; contestant 	 individual 
 tadasu 	 better ; improve ; amend ; ameliorate ; meliorate 	 verb 
 to_ 	 pagoda 	 architecture 
 so_fusaki 	 addressee 	
 eshi 	 necrosis ; mortification ; gangrene ; sphacelus 	 medicine 
 hossa 	 paroxysm ; fit ; convulsion 	 medicine 
 komaku 	 eardrum ; tympanum ; tympanic membrane ; myringa 	 anatomy 
 kenson 	 modesty ; modestness 	 character 
 ko_kateki 	 effective ; effectual ; efficacious 	 descriptive_adjectives 
 hotaruishi 	 fluorite ; fluorspar ; fluor 	 mineral 
 ippin 	 dish 	
 arimaki 	 aphid 	 animal 
 waruguse 	 frailty ; vice 	
 kamikudaku 	 simplify 	 alter 
 do_do_taru 	 gallant ; lofty ; majestic ; proud 	 descriptive_adjectives 
 datchixyou 	 hernia ; herniation 	 medicine 
 sekentei 	 decency 	
 ura 	 sole 	
 oshii 	 precious 	 valentines_day 
 gairyaku 	 outline ; schema ; scheme 	 art 
 teiko_ 	 resistance ; opposition 	 physics 
 daisho_ 	 damages ; amends ; indemnity ; indemnification ; restitution ; redress 	 law 
 torishimari 	 supervision ; supervising ; superintendence ; oversight 	 construction 
 shu_matsu 	 weekend 	 time 
 zo_shu_wai 	 bribery ; graft 	 law 
 kurosho_jo_ 	 chimpanzee ; chimp ; Pan troglodytes 	 animal 
 nenkan 	 annual ; yearly ; yearbook 	
 atsumi 	 thickness 	 chemistry 
 ninshinchu_zetsu 	 abortion 	 medicine 
 kirikae 	 conversion ; transition ; changeover 	 physics 
 taiikukan 	 gymnasium ; gym 	 fitness 
 ko_ 	 paragraph 	 linguistics 
 zentei 	 prerequisite ; requirement 	 manufacturing 
 nikunikushii 	 abominable ; detestable ; execrable ; odious 	
 seki 	 sluice ; sluiceway ; penstock 	
 fuku 	 wipe ; pass over 	
 bunben 	 childbirth ; childbearing ; accouchement ; vaginal birth 	
 okubukai 	 profound 	
 kojiin 	 orphanage ; orphans' asylum 	
 kurushimu 	 hurt ; ache ; suffer 	 health 
 shasei 	 ejaculation 	 discharge 
 hiritsu 	 proportion 	 art 
 maho_ 	 witchcraft ; witchery 	
 mitsu 	 nectar 	 botany 
 uwadzutsumi 	 envelope 	 accounting 
 raisan 	 adoration ; idolization ; idolisation 	
 kikaika 	 automation ; mechanization ; mechanisation 	 manufacturing 
 sho_sa 	 major 	 military 
 saiken 	 bond ; bond certificate 	 accounting 
 utsushidasu 	 reflect ; reverberate 	 verb 
 han'i 	 sphere ; domain ; area ; orbit ; field ; arena 	 mathematics 
 jo_ho 	 concession ; grant 	 economics 
 mishiranu 	 unknown 	 mathematics 
 enshinki 	 centrifuge ; extractor ; separator 	 technology 
 fu_setsu 	 blizzard ; snowstorm 	 weather 
 sorasu 	 crook ; curve 	 manufacturing 
 monosabishii 	 alone ; lone ; lonely ; solitary 	 adjective 
 bo_on 	 ingratitude ; ungratefulness 	 feeling 
 shisatsu 	 inspection ; review 	 career 
 yo_jo 	 enchantress ; witch 	 mythology 
 okosu 	 cause ; do ; make 	 create 
 ho_hi 	 prepuce ; foreskin 	 anatomy 
 kissa 	 falsehood ; falsity ; untruth 	 law 
 so_kankankei 	 correlation coefficient ; coefficient of correlation ; correlation 	 mathematics 
 mikomu 	 expect ; anticipate 	 judge 
 bassai 	 deforestation ; disforestation 	
 yoseru 	 add ; add together 	 verb 
 seirikigaku 	 statics 	 construction 
 sokudokei 	 speedometer ; speed indicator 	 device 
 seppen 	 section ; segment 	 linguistics 
 ho_shasengaku 	 radiology 	
 erimaki 	 scarf 	 clothes 
 aiyoku 	 passion ; passionateness 	 feeling 
 hakujaku 	 failing ; weakness 	 mechanical_engineering 
 ganka 	 ophthalmology 	
 hamekomu 	 insert ; infix ; enter ; introduce 	
 yurusu 	 let ; allow ; permit 	 verb 
 otosu 	 spend ; expend ; drop 	 manufacturing 
 seishinryo_ho_ 	 psychotherapy ; psychotherapeutics ; mental hygiene 	
 nobasu 	 elongate ; stretch 	 art 
 enzetsu 	 address ; speech 	 linguistics 
 kawa 	 hide ; pelt ; skin 	 anatomy 
 meikin 	 songbird ; songster 	 oscine bird 
 he 	 fart ; farting ; flatus ; wind ; breaking wind 	 slang 
 sekkan 	 sarcophagus 	
 ketteiron 	 determinism 	 psychology 
 wasurenagusa 	 forget-me-not ; mouse ear ; Myosotis scorpiodes 	 herb 
 seii 	 power ; force 	 cause 
 dokasu 	 remove ; take ; take away ; withdraw 	 verb 
 kiniiri 	 darling ; favorite ; favourite ; pet ; dearie ; deary ; ducky 	 valentines_day 
 sasayaka 	 modest 	 descriptive_adjectives 
 tsutaeru 	 air ; send ; broadcast ; beam ; transmit 	
 sasageru 	 give ; dedicate ; consecrate ; commit ; devote 	
 tekisei 	 aptitude 	 management 
 kakuseiki 	 megaphone 	 device 
 kyu_ten 	 celestial sphere ; sphere ; empyrean ; firmament ; heavens ; vault of heaven ; welkin 	 astronomy 
 konohodo 	 recently ; late ; lately ; of late ; latterly 	 adverb 
 torimotsu 	 entertain 	
 higasa 	 parasol ; sunshade 	 fashion 
 tsugumi 	 thrush 	 ornithology 
 inja 	 hermit ; recluse ; solitary ; solitudinarian ; troglodyte 	 character 
 keikiko_tai 	 recession 	 economics 
 sesshu 	 adoption ; acceptance ; acceptation ; espousal 	 business 
