 対 [たい] 	 against 	 preposition 
 プリンスエドワードアイランド州 	 Prince Edward Island 	
 アルカーイダ 	 al-Qaeda ; Qaeda ; al-Qa'ida ; al-Qaida ; Base 	
 ベルファスト 	 Belfast ; capital of Northern Ireland 	 capital_city 
 真空 	 vacuum ; vacuity 	 physics 
 マルクス・トゥッリウス・キケロ 	 Cicero ; Marcus Tullius Cicero ; Tully 	
 ボルネオ島 	 Borneo ; Kalimantan 	
 アントン・チェーホフ 	 Chekhov ; Chekov ; Anton Chekhov ; Anton Chekov ; Anton Pavlovich Chekhov ; Anton Pavlovich Chekov 	 person 
 孔雀 [くじゃく] 	 peacock 	 animal 
 スタンリー・キューブリック 	 Kubrick ; Stanley Kubrick 	
 ザルツブルク 	 Salzburg 	
 ハリウッド 	 Hollywood 	
 神殿 	 temple 	 place 
 バレアレス諸島 	 Balearic Islands 	
 人種 	 subspecies ; race 	 biology 
 ハムスター 	 hamster 	 animal 
 磁気 [じき] 	 magnetism ; magnetic attraction ; magnetic force 	 physics 
 ひばり 	 lark 	 animal 
 サラダ 	 salad 	 food 
 値段 	 price ; terms ; damage 	 transport 
 無花果 [いちじく] 	 fig 	 edible fruit 
 メロン 	 melon 	 edible fruit 
 組織学 [そしきがく] 	 histology 	 medicine 
 マンハッタン 	 Manhattan 	
 岩 	 rock ; stone 	 material 
 生理学 	 physiology 	 biology 
 友情 	 friendship ; friendly relationship 	 character 
 1930年代 	 thirties ; 1930s 	
 分析 	 analysis ; analytic thinking 	 mathematics 
 要素 	 component ; constituent ; element ; factor ; ingredient 	 mathematics 
 フランス領ポリネシア 	 French Polynesia ; French Oceania 	
 ファドゥーツ 	 Vaduz ; capital of Liechtenstein 	 capital_city 
 トーマス・マン 	 Mann ; Thomas Mann 	 person 
 スタイル 	 style 	 art 
 スペイン内戦 	 Spanish Civil War 	
 リヤド 	 Riyadh ; capital of Saudi Arabia 	 capital_city 
 教育 	 education 	 society 
 敷居 	 threshold ; limen 	 construction 
 湾 	 bay ; embayment 	 world 
 BASIC 	 BASIC 	 computers 
 1960年代 	 sixties ; 1960s 	
 1970年代 	 seventies ; 1970s 	
 シャワー 	 shower 	 house 
 1920年代 	 twenties ; 1920s 	
 芽 	 bud 	 botany 
 ジャガー 	 jaguar ; panther ; Panthera onca ; Felis onca 	 animal 
 樹脂 	 resin ; rosin 	 biology 
 行政 [ぎょうせい] 	 administration ; disposal 	 direction 
 物質代謝 [ぶっしつたいしゃ] 	 metabolism ; metabolic process 	 biological process 
 風車 	 windmill ; aerogenerator ; wind generator 	 device 
 センチメートル 	 centimeter ; centimetre ; cm 	
 住居 	 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 house 
 タンポポ 	 dandelion ; blowball 	 herb 
 人形 	 doll ; dolly 	
 ジュール 	 joule ; J ; watt second 	 physics 
 コロッセオ 	 Colosseum ; Amphitheatrum Flavium 	
 卓球 	 table tennis ; Ping-Pong 	
 鰊 [にしん] 	 herring ; Clupea harangus 	 animal 
 軟体動物 	 Mollusca ; phylum Mollusca 	
 エッジワース・カイパーベルト 	 Kuiper belt ; Edgeworth-Kuiper belt 	 part 
 地域 	 one-fourth ; fourth ; one-quarter ; quarter ; fourth part ; twenty-five percent ; quartern 	 mathematics 
 アスタナ 	 Astana ; Akmola ; capital of Kazakhstan 	 capital_city 
 噴水 	 fountain 	 structure 
 大工 	 carpenter 	 profession 
 トビリシ 	 Tbilisi ; Tiflis ; capital of Georgia 	 capital_city 
 投げる 	 throw 	 verb 
 グローバル・ポジショニング・システム 	 Global Positioning System ; GPS 	
 利益 	 gain 	 accounting 
 葦 [あし] 	 reed 	 music 
 鉤十字 [かぎじゅうじ] 	 swastika ; Hakenkreuz 	
 ラゴス 	 Lagos 	
 プログラミング 	 programming ; programing ; computer programming ; computer programing 	 computers 
 座る [すわる] 	 sit ; sit down 	 verb 
 罰金 	 fine ; mulct ; amercement 	 business 
 ルテニウム 	 ruthenium ; Ru ; atomic number 44 	 chemistry 
 タンタル 	 tantalum ; Ta ; atomic number 73 	 chemistry 
 沸点 	 boiling point ; boil 	
 マックス・ヴェーバー 	 Weber ; Max Weber 	 person 
 オスミウム 	 osmium ; Os ; atomic number 76 	 chemistry 
 直す 	 repair ; mend ; fix ; bushel ; doctor ; furbish up ; restore ; touch on 	 mechanical_engineering 
 イベリア半島 	 Iberian Peninsula ; Iberia 	
 ハサミムシ 	 earwig 	 animal 
 コブラ 	 cobra 	 animal 
 市長 	 mayor ; city manager 	 profession 
 瞬間 [しゅんかん] 	 moment ; mo ; minute ; second ; bit 	 time 
 モールス符号 	 Morse ; Morse code ; international Morse code 	
 弾丸 	 bullet ; slug 	 military 
 貧血 	 anemia ; anaemia 	 medicine 
 洗礼 	 baptism 	 religion 
 球 	 sphere 	 mathematics 
 鷓鴣 [しゃこ] 	 partridge 	 animal 
 薄明 	 twilight ; dusk ; gloaming ; gloam ; nightfall ; evenfall ; fall ; crepuscule ; crepuscle 	 nature 
 発音 	 pronunciation 	 linguistics 
 高度 	 altitude ; height 	 abstract 
 粒子 	 atom ; molecule ; particle ; corpuscle ; mote ; speck 	 linguistics 
 ココア 	 cocoa 	 drink 
 台所 	 kitchen 	 house 
 サイクロン 	 cyclone 	 nature 
 ヘリコプター 	 helicopter ; chopper ; whirlybird ; eggbeater 	 transport 
 手順 	 procedure ; process 	 mathematics 
 染色体 [せんしょくたい] 	 chromosome 	 genetics 
 鶉 [うずら] 	 quail 	 animal 
 ボスポラス海峡 	 Bosporus 	
 パラジウム 	 palladium ; Pd ; atomic number 46 	 chemistry 
 ハノイ 	 Hanoi ; capital of Vietnam 	 capital_city 
 ラム酒 	 rum 	 drink 
 フジ' 	 Fuji ; Mount Fuji ; Fujiyama ; Fujinoyama ; Fuji-san 	
 キリマンジャロ 	 Kilimanjaro ; Mount Kilimanjaro 	
 ミイラ 	 mummy 	
 墓 	 grave ; tomb 	 spot 
 シアトル 	 Seattle 	
 鼻髭 [はなひげ] 	 mustache ; moustache 	 anatomy 
 ユーフラテス川 	 Euphrates ; Euphrates River 	
 提督 [ていとく] 	 admiral ; full admiral 	 military 
 印象 	 impression ; feeling ; belief ; notion ; opinion 	 thought 
 買う 	 buy ; purchase 	 verb 
 小切手 	 check ; bank check ; cheque 	 business 
 フランツ・リスト 	 Liszt ; Franz Liszt 	 person 
 トゥールーズ 	 Toulouse 	 city 
 企画 	 project ; projection 	 abstract 
 許可 	 permission 	
 コルシカ島 	 Corse ; Corsica 	
 願事 [ねがいごと] 	 prayer ; supplication 	 religion 
 ハルツーム 	 Khartoum ; capital of Sudan 	 capital_city 
 クラシック音楽 	 classical music ; classical ; serious music 	 music 
 突然変異 [とつぜんへんい] 	 mutation ; genetic mutation ; chromosomal mutation 	 biology 
 ヴォルゴグラード 	 Volgograd ; Stalingrad ; Tsaritsyn 	 city 
 長崎市 	 Nagasaki 	 city 
 オーガズム 	 orgasm ; climax ; sexual climax ; coming 	 medicine 
 忍耐 	 patience ; forbearance ; longanimity 	 character 
 ジャーナリズム 	 journalism 	
 未開人 	 savage ; barbarian 	 history 
 労働 	 labor ; labour ; toil 	 business 
 違い 	 difference 	 abstract 
 ピッチ 	 pitch ; tar 	
 通訳 	 interpreter ; translator 	 linguistics 
 目撃者 	 witness ; witnesser ; informant 	 law 
 大司教 	 archbishop 	 profession 
 王子 	 prince 	
 王座 	 throne 	
 喜劇 	 comedy 	 literature 
 広漠たる [こうばくたる] 	 huge ; immense ; vast ; Brobdingnagian 	
 タイプライター 	 typewriter 	
 本文 	 text ; textual matter 	 linguistics 
 ヘーパイストス 	 Hephaestus ; Hephaistos 	 mythology 
 融点 	 freezing point ; melting point 	 physics 
 ボクシング 	 boxing ; pugilism ; fisticuffs 	
 トール 	 Thor 	 mythology 
 対流圏 	 troposphere 	 meteorology 
 地方 	 region 	 ecology 
 奴隷 	 slavery ; slaveholding 	
 怪物 	 monster 	 mythology 
 大砲 	 artillery ; artillery unit 	 military 
 依頼人 	 client 	 society 
 著作権 	 copyright ; right of first publication 	 law 
 クリスチャン 	 Christian 	
 ジェームズ・ボンド 	 Bond ; James Bond 	
 作曲家 	 composer 	 profession 
 水素イオン指数 	 pH ; pH scale 	 chemistry 
 幼虫 	 larva 	 creature 
 ニキータ・フルシチョフ 	 Khrushchev ; Nikita Khrushchev ; Nikita Sergeyevich Khrushchev 	 person 
 収入 	 income 	 business 
 戸棚 [とだな] 	 cupboard ; closet 	 house 
 祭壇 	 altar ; communion table ; Lord's table 	 religion 
 オアシス 	 oasis 	 geology 
 禁止 	 prohibition ; ban ; proscription 	 order 
 アメリシウム 	 americium ; Am ; atomic number 95 	 chemistry 
 合図 	 signal ; signaling ; sign 	 communication 
 推薦 	 recommendation ; testimonial ; good word 	 career 
 ホッキョクグマ 	 ice bear ; polar bear ; Ursus Maritimus ; Thalarctos maritimus 	 animal 
 式 	 ceremony ; ceremonial ; ceremonial occasion ; observance 	 religion 
 石英 [せきえい] 	 quartz 	 geology 
 ヘラジカ 	 elk ; European elk ; moose ; Alces alces 	 animal 
 成功 	 success 	 society 
 運命 	 destiny ; fate 	 natural event 
 パイナップル 	 pineapple ; ananas 	 botany 
 修道院 	 abbey 	
 カフェイン 	 caffeine ; caffein 	 substance 
 サクランボ 	 cherry 	 fruit 
 デザート 	 dessert ; sweet ; afters 	 food 
 朝食 	 breakfast 	 food 
 子音 	 consonant 	 linguistics 
 地形学 	 morphology ; geomorphology 	 linguistics 
 地震学 	 seismology 	 physics 
 エミリア＝ロマーニャ州 	 Emilia-Romagna 	
 虚数単位 	 complex number ; complex quantity ; imaginary number ; imaginary 	 mathematics 
 パンゲア大陸 	 Pangaea ; Pangea 	
 カトマンズ 	 Kathmandu ; Katmandu ; capital of Nepal 	 capital_city 
 原形 	 prototype ; paradigm ; epitome ; image 	 linguistics 
 九十 [きゅうじゅう] 	 ninety ; 90 ; xc 	 number 
 サスカチュワン州 	 Saskatchewan 	
 自然科学 	 natural science 	
 ケイマン諸島 	 Cayman Islands 	
 電池 	 battery ; electric battery 	 device 
 ブルノ 	 Brno ; Brunn 	
 ヘンリック・イプセン 	 Ibsen ; Henrik Ibsen ; Henrik Johan Ibsen 	 person 
 パスポート 	 passport 	 object 
 アルジェ 	 Algiers ; Algerian capital 	 city 
 キト 	 Quito ; capital of Ecuador 	 capital_city 
 イデオロギー 	 political orientation ; ideology ; political theory 	 diplomacy 
 イリオス 	 Troy ; Ilion ; Ilium 	 city 
 偏見 	 bias ; prejudice ; preconception 	 statistics 
 カンパニア州 	 Campania 	
 自由主義 [じゆうしゅぎ] 	 liberalism 	
 リグーリア州 	 Liguria 	
 ロバート・デ・ニーロ 	 De Niro ; Robert De Niro 	
 ソファー 	 sofa ; couch ; lounge 	 furniture 
 ハインリヒ・ヒムラー 	 Himmler ; Heinrich Himmler 	 person 
 テコンドー 	 tae kwon do ; taekwondo 	
 ホルモン 	 hormone ; endocrine ; internal secretion 	 biology 
 睾丸 	 testis ; testicle ; orchis ; ball ; ballock ; bollock ; nut ; egg 	 anatomy 
 ジェームズ・モンロー 	 Monroe ; James Monroe ; President Monroe 	 person 
 コカイン 	 cocaine ; cocain 	
 自涜 [じとく] 	 masturbation ; onanism 	 sex 
 亡命 	 refuge ; sanctuary ; asylum 	
 クリスティアーン・ホイヘンス 	 Huygens ; Christiaan Huygens ; Christian Huygens 	 person 
 衛星 	 satellite ; artificial satellite ; orbiter 	 astronomy 
 カリグラ 	 Caligula ; Gaius ; Gaius Caesar 	
 特許 	 patent ; patent of invention 	 accounting 
 トマス・ホッブズ 	 Hobbes ; Thomas Hobbes 	 person 
 非人 [ひにん] 	 beggar ; mendicant 	
 生生しい [なまなましい] 	 fresh 	 adjective 
 アレクサンドル・デュマ・フィス 	 Dumas ; Alexandre Dumas 	 person 
 折り紙 	 origami 	
 オウィディウス 	 Ovid ; Publius Ovidius Naso 	
 脂質 	 lipid ; lipide ; lipoid 	 biology 
 アレルギー 	 allergy ; allergic reaction 	 health 
 ランタン 	 lanthanum ; La ; atomic number 57 	 chemistry 
 大砲 	 cannon 	 military 
 創世記 	 Genesis ; Book of Genesis 	
 トロイア戦争 	 Trojan War 	 mythology 
 ザンジバル 	 Zanzibar 	
 原子量 	 atomic mass ; atomic weight ; relative atomic mass 	 chemistry 
 ユリシーズ・グラント 	 Grant ; Ulysses Grant ; Ulysses S. Grant ; Ulysses Simpson Grant ; Hiram Ulysses Grant ; President Grant 	 person 
 馬鹿馬鹿しい [ばかばかしい] 	 stupid 	 adjective 
 神話 	 myth 	 literature 
 連合会 [れんごうかい] 	 association 	 society 
 凧 [いかのぼり] 	 kite 	
 瞬間 	 moment ; minute ; second ; instant 	 mathematics 
 北アフリカ 	 North Africa 	
 足首 	 ankle ; ankle joint ; mortise joint ; articulatio talocruralis 	 anatomy 
 神経科 [しんけいか] 	 neurology ; clinical neurology 	 medicine 
 性格 	 quality ; character ; lineament 	 abstract 
 トラヤヌス 	 Trajan ; Marcus Ulpius Traianus 	
 ケープタウン 	 Cape Town 	
 マルティン・ハイデッガー 	 Heidegger ; Martin Heidegger 	 person 
 選択 	 choice ; selection ; option ; pick 	 abstract 
 スパルタ 	 Sparta 	 city 
 モガディシュ 	 Mogadishu ; Mogadiscio ; capital of Somalia 	 capital_city 
 早くも [はやくも] 	 already 	 adverb 
 フランツ・シューベルト 	 Schubert ; Franz Schubert ; Franz Peter Schubert ; Franz Seraph Peter Schubert 	 person 
 ニコラ・テスラ 	 Tesla ; Nikola Tesla 	 person 
 七 [しち] 	 seven ; 7 ; vii 	 number 
 鯉 	 carp 	 animal 
 教える 	 teach ; learn ; instruct 	 verb 
 紋章学 	 heraldry 	
 芸術家 	 artist ; creative person 	 profession 
 カラチ 	 Karachi 	 city 
 アブハジア 	 Abkhaz ; Abkhazia 	
 アビジャン 	 Abidjan 	 city 
 奴隷制度 [どれいせいど] 	 bondage ; slavery ; thrall ; thralldom ; thraldom 	
 ルアンダ 	 Luanda ; Angolan capital 	 city 
 迷路 	 maze ; labyrinth 	 anatomy 
 受取る 	 accept ; take ; have 	 verb 
 保護 	 protection 	 transport 
 部署 	 department ; section 	 society 
 生物圏 	 biosphere 	 biology 
 ビラ 	 poster ; posting ; placard ; notice ; bill ; card 	 object 
 丈夫 [じょうぶ] 	 solid ; strong ; substantial 	
 種馬 	 stallion ; entire 	
 家具 	 furniture ; piece of furniture ; article of furniture 	 house 
 半分 	 one-half ; half 	 mathematics 
 離婚 	 divorce ; divorcement 	 law 
 検査 	 test ; trial ; run 	 mathematics 
 利点 	 advantage ; vantage 	 abstract 
 ヴィクトリア湖 	 Lake Victoria ; Victoria Nyanza 	
 郵趣 	 philately ; stamp collecting ; stamp collection 	 aggregation 
 黒 	 black ; blackness ; inkiness 	 color 
 映画 	 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 city 
 オリバー・クロムウェル 	 Cromwell ; Oliver Cromwell ; Ironsides 	 person 
 グレート・バリア・リーフ 	 Great Barrier Reef 	
 ケンタウロス 	 centaur 	 mythology 
 火花 	 spark 	
 航行 	 navigation ; pilotage ; piloting 	 astronomy 
 ヴァンダリズム 	 vandalism ; hooliganism ; malicious mischief 	 law 
 テムズ川 	 Thames ; River Thames ; Thames River 	
 エドヴァルド・ムンク 	 Munch ; Edvard Munch 	 person 
 ゲオルギウス 	 George ; Saint George ; St. George 	
 チャンネル 	 channel 	 logistics 
 良心 	 conscience ; scruples ; moral sense ; sense of right and wrong 	 religion 
 人口学 [じんこうがく] 	 demography ; human ecology 	 marketing 
 サキソフォン 	 sax ; saxophone 	 music 
 氷山 	 iceberg ; berg 	 ecology 
 中央処理装置 	 central processing unit ; CPU ; C.P.U. ; central processor ; processor ; mainframe 	 device 
 卵巣 	 ovary 	 anatomy 
 婦人科 	 gynecology ; gynaecology 	
 ウィリアム・フォークナー 	 Faulkner ; William Faulkner ; William Cuthbert Faulkner ; Falkner ; William Falkner 	 person 
 合気道 	 aikido 	
 フィンランド湾 	 Gulf of Finland 	
 氷 	 ice 	 nature 
 機関車 	 locomotive ; engine ; locomotive engine ; railway locomotive 	 device 
 スパイス 	 spice 	 seasoning 
 アラビア海 	 Arabian Sea 	
 水理学 [すいりがく] 	 fluid mechanics ; hydraulics 	 physics 
 ロードス島の巨像 	 Colossus of Rhodes 	
 石灰 	 calcium hydroxide ; lime ; slaked lime ; hydrated lime ; calcium hydrate ; caustic lime ; lime hydrate 	 construction 
 セイウチ 	 walrus ; seahorse ; sea horse 	 animal 
 独立国家共同体 	 Commonwealth of Independent States ; CIS 	
 禿鷹 [はげたか] 	 vulture 	 animal 
 原稿 	 manuscript ; holograph 	
 トリウム 	 thorium ; Th ; atomic number 90 	 chemistry 
 いたち 	 weasel 	 animal 
 ラングドック＝ルシヨン地域圏 	 Languedoc-Roussillon 	
 定理 	 theorem 	 mathematics 
 毛皮 	 fur ; pelt 	 substance 
 断頭台 	 guillotine 	
 モントセラト 	 Montserrat 	
 ポール・マッカートニー 	 McCartney ; Paul McCartney ; Sir James Paul McCartney 	
 アンドリュー・ジャクソン 	 Jackson ; Andrew Jackson ; Old Hickory 	 person 
 ニオブ 	 niobium ; Nb ; atomic number 41 	 chemistry 
 数字 	 numeral ; number 	 linguistics 
 ニコシア 	 Nicosia ; capital of Cyprus 	 capital_city 
 ドルトムント 	 Dortmund 	
 十字 	 cross 	 mechanical_engineering 
 烈烈 [れつれつ] 	 ferocious ; fierce ; furious ; savage 	 descriptive_adjectives 
 綴り [つづり] 	 orthography ; writing system 	 linguistics 
 アボガドロ定数 	 Avogadro's number ; Avogadro number 	
 燕 [つばめ] 	 swallow 	 animal 
 従容たる [しょうようたる] 	 calm ; unagitated ; serene ; tranquil 	 character 
 疑似科学 	 pseudoscience 	
 アレクサンダー・フレミング 	 Fleming ; Alexander Fleming ; Sir Alexander Fleming 	 person 
 もぐら 	 mole 	 animal 
 ミトコンドリア 	 mitochondrion ; chondriosome 	 biology 
 楽しい 	 pleasant 	 descriptive_adjectives 
 マクスウェルの方程式 	 Maxwell's equations 	
 ネックレス 	 necklace 	 jewelry 
 石綿 	 asbestos 	
 国際法 	 international law ; law of nations 	
 方針 	 policy 	 society 
 カモフラージュ 	 disguise ; camouflage 	 military 
 サミュエル・ベケット 	 Beckett ; Samuel Beckett 	 person 
 泥炭 [でいたん] 	 peat 	 agriculture 
 素速い 	 rapid ; speedy 	
 アントワーヌ・ラヴォアジエ 	 Lavoisier ; Antoine Lavoisier ; Antoine Laurent Lavoisier 	 person 
 公園 	 park ; commons ; common ; green 	 city 
 アルトゥル・ショーペンハウアー 	 Schopenhauer ; Arthur Schopenhauer 	 person 
 国境 	 boundary line ; border ; borderline ; delimitation ; mete 	 transport 
 事務所 	 agency ; federal agency ; government agency ; bureau ; office ; authority 	 finance 
 ヴィースバーデン 	 Wiesbaden 	 city 
 イットリウム 	 yttrium ; Y ; atomic number 39 	 chemistry 
 モーター 	 motor 	 device 
 儒教 	 Confucianism 	
 ジョージ・ルーカス 	 Lucas ; George Lucas 	
 金錆 [かなさび] 	 rust 	 chemistry 
 端 [はし] 	 peak ; crown ; crest ; top ; tip ; summit 	 economics 
 エホバの証人 	 Jehovah's Witnesses 	
 ウルドゥ語 	 Urdu 	 language 
 ニューカレドニア 	 New Caledonia 	
 無機化学 	 inorganic chemistry 	
 コンマ 	 comma 	 linguistics 
 薬理学 [やくりがく] 	 pharmacology ; pharmacological medicine ; materia medica 	
 分子生物学 	 molecular biology 	 biology 
 白血病 	 leukemia ; leukaemia ; leucaemia ; cancer of the blood 	 medicine 
 玄武岩 	 basalt 	 mineral 
 地下室 	 basement ; cellar 	
 野営地 	 camp ; encampment ; cantonment ; bivouac 	 military 
 物 	 object ; physical object 	 linguistics 
 リール 	 Lille 	 city 
 音楽隊 [おんがくたい] 	 band 	 object 
 豊か [ゆたか] 	 affluent ; flush ; loaded ; moneyed ; wealthy 	
 幅 	 width ; breadth 	 transport 
 ホー・チ・ミン 	 Ho Chi Minh ; Nguyen Tat Thanh 	 person 
 栄養 	 nutriment ; nourishment ; nutrition ; sustenance ; aliment ; alimentation ; victuals 	 biology 
 バジリカータ州 	 Basilicata ; Lucania 	
 ガーンジー島 	 Guernsey ; island of Guernsey 	
 イルカ 	 dolphinfish ; dolphin ; mahimahi 	 animal 
 ロマン主義 	 Romanticism ; Romantic Movement 	
 H 	 H ; h 	 alphabetic character 
 ヨット 	 yacht ; racing yacht 	 transport 
 ホラティウス 	 Horace 	
 傾斜 	 slope ; incline ; side 	 geometry 
 D 	 D ; d 	 alphabetic character 
 ヘロイン 	 heroin ; diacetylmorphine 	
 魔法 	 magic ; thaumaturgy 	 mythology 
 素粒子物理学 	 particle physics ; high-energy physics ; high energy physics 	
 空気力学 	 aeromechanics ; aerodynamics 	
 Y 	 Y ; y ; wye 	 alphabetic character 
 泥 	 mud ; clay 	 garden 
 倍 [ばい] 	 double ; dual ; duple 	
 ニューファンドランド・ラブラドール州 	 Newfoundland and Labrador 	
 西瓜 [すいか] 	 watermelon 	 fruit 
 アセチレン 	 acetylene ; ethyne ; alkyne 	 mechanical_engineering 
 歩道 	 sidewalk ; pavement 	 construction 
 ランタン 	 lantern 	 construction 
 人口調査 	 census ; nose count ; nosecount 	
 花瓶 	 vase 	
 旅行者 	 tourist ; tourer ; holidaymaker 	
 ロケット 	 rocket ; projectile 	 astronomy 
 飛行家 	 aviator ; aeronaut ; airman ; flier ; flyer 	 profession 
 アルメニア語 	 Armenian ; Armenian language 	 language 
 ラバト 	 Rabat ; capital of Morocco 	 capital_city 
 エントロピー 	 information ; selective information ; entropy 	 mathematics 
 船乗り 	 mariner ; seaman ; tar ; Jack-tar ; Jack ; old salt ; seafarer ; gob ; sea dog 	
 パブロ・ネルーダ 	 Neruda ; Pablo Neruda ; Reyes ; Neftali Ricardo Reyes 	 person 
 ヨガ 	 yoga 	 fitness 
 圧力 	 pressure ; pressure level ; force per unit area 	 nature 
 球戯 [きゅうぎ] 	 billiards 	
 被子植物門 	 angiosperm ; flowering plant 	
 鰥夫 [やもめ] 	 widower ; widowman 	 man 
 寒波 	 freeze ; frost 	 nature 
 ずるい 	 crafty ; cunning ; dodgy ; foxy ; guileful ; knavish ; slick ; sly ; tricksy ; tricky ; wily 	
 おじさん 	 uncle 	 family 
 パンダ 	 giant panda ; panda ; panda bear ; coon bear ; Ailuropoda melanoleuca 	 animal 
 ピレネー山脈 	 Pyrenees 	
 人質 	 hostage ; surety 	 police 
 フランシスコ・デ・ゴヤ 	 Goya ; Goya y Lucientes ; Francisco Goya ; Francisco de Goya ; Francisco Jose de Goya ; Francisco Jose de Goya y Lucientes 	 person 
 伯爵 	 count 	
 重い 	 heavy 	 adjective 
 碗 [わん] 	 bowl 	
 手仕事 [てしごと] 	 handicraft ; handcraft ; handiwork ; handwork 	 work 
 バックギャモン 	 backgammon 	
 詳しい [くわしい] 	 accurate ; exact ; precise 	 mechanical_engineering 
 菌 	 fungus 	 being 
 変化 	 change ; alteration ; modification 	 abstract 
 ジョヴァンニ・ボッカッチョ 	 Boccaccio ; Giovanni Boccaccio 	 person 
 サギ科 	 heron 	 animal 
 触媒 	 catalysis ; contact action 	 chemistry 
 歯科医 	 dentist ; tooth doctor ; dental practitioner 	 profession 
 ヘルメット 	 helmet 	 military 
 ジミ・ヘンドリックス 	 Hendrix ; Jimi Hendrix ; James Marshall Hendrix 	 person 
 職業 	 career ; calling ; vocation 	 career 
 花嫁 	 bride 	 sex 
 アンデレ 	 Andrew ; Saint Andrew ; St. Andrew ; Saint Andrew the Apostle 	 religion 
 気分 	 temper ; mood ; humor ; humour 	 character 
 反響 	 echo ; reverberation ; sound reflection ; replication 	 physics 
 データ 	 data ; information 	 communication 
 洋服屋 	 tailor ; seamster ; sartor 	 profession 
 オングストローム 	 angstrom ; angstrom unit ; A 	
 ディオニューソス 	 Dionysus 	 mythology 
 畝間 [うねま] 	 wrinkle ; furrow ; crease ; crinkle ; seam ; line 	 fashion 
 画家 	 painter 	 profession 
 ジャン・カルヴァン 	 Calvin ; John Calvin ; Jean Cauvin ; Jean Caulvin ; Jean Chauvin 	 person 
 真夜中 	 midnight 	 time 
 クーロン 	 coulomb ; C ; ampere-second 	 electronics 
 ルイ・パスツール 	 Pasteur ; Louis Pasteur 	 person 
 反応 	 chemical reaction ; reaction 	 chemistry 
 ディオクレティアヌス 	 Diocletian ; Gaius Aurelius Valerius Diocletian 	
 尼 	 nun 	 profession 
 冒険 	 adventure ; escapade ; risky venture ; dangerous undertaking 	
 ユリウス暦 	 Julian calendar ; Old Style calendar 	
 大天使 [だいてんし] 	 archangel 	 religion 
 グレゴール・ヨハン・メンデル 	 Mendel ; Gregor Mendel ; Johann Mendel 	 person 
 摩擦 	 friction ; rubbing 	 physics 
 漁夫 	 fisherman ; fisher 	 profession 
 苦痛 	 torture ; torturing 	
 モンブラン 	 Mont Blanc ; Monte Bianco 	
 制服 	 uniform 	 military 
 オーム 	 ohm 	
 実験室 	 lab ; laboratory ; research lab ; research laboratory ; science lab ; science laboratory 	 chemistry 
 フロッピー ディスク 	 diskette ; floppy ; floppy disk 	 computers 
 外見 	 appearance ; visual aspect 	 quality 
 電気抵抗 	 electric resistance ; electrical resistance ; impedance ; resistance ; resistivity ; ohmic resistance 	 physics 
 混沌 	 chaos ; pandemonium ; bedlam ; topsy-turvydom ; topsy-turvyness 	
 ドゥニ・ディドロ 	 Diderot ; Denis Diderot 	 person 
 精神分裂症 	 schizophrenia ; schizophrenic disorder ; schizophrenic psychosis ; dementia praecox 	
 印象派 	 Impressionism 	
 アッティラ 	 Attila ; Attila the Hun ; Scourge of God ; Scourge of the Gods 	
 商人 	 merchant ; merchandiser 	
 細かい 	 fine 	 adjective 
 ソポクレス 	 Sophocles 	
 王冠 	 crown ; diadem 	
 ヘラクレイトス 	 Heraclitus 	
 ドミートリイ・ショスタコーヴィチ 	 Shostakovich ; Dmitri Shostakovich ; Dmitri Dmitrievich Shostakovich 	 person 
 X線 	 X ray ; X-ray ; X-radiation ; roentgen ray 	
 ルートヴィヒ・ウィトゲンシュタイン 	 Wittgenstein ; Ludwig Wittgenstein ; Ludwig Josef Johan Wittgenstein 	 person 
 ジョン・クィンシー・アダムズ 	 Adams ; John Quincy Adams ; President Adams ; President John Quincy Adams 	 person 
 かもめ 	 gull ; seagull ; sea gull 	 animal 
 ポルノ 	 pornography ; porno ; porn ; erotica ; smut 	 sex 
 ジョン・スタインベック 	 Steinbeck ; John Steinbeck ; John Ernst Steinbeck 	 person 
 シャルル・ボードレール 	 Baudelaire ; Charles Baudelaire ; Charles Pierre Baudelaire 	 person 
 ジャム 	 jam 	 spice 
 ダイオード 	 diode ; semiconductor diode ; junction rectifier ; crystal rectifier 	 device 
 ニュートリノ 	 neutrino 	
 欠乏 	 lack ; deficiency ; want 	 economics 
 東南アジア 	 Southeast Asia 	
 ブルース 	 blues 	 music 
 鯖 [さば] 	 mackerel 	 animal 
 休止 	 pause ; intermission ; break ; interruption ; suspension 	 time 
 訪れる [おとずれる] 	 visit ; see 	 verb 
 電圧 	 electric potential ; potential ; potential difference ; potential drop ; voltage 	 physics 
 ウンブリア州 	 Umbria 	
 詩人 	 poet 	 profession 
 星印 	 asterisk ; star 	 linguistics 
 ルイ・アームストロング 	 Armstrong ; Louis Armstrong ; Satchmo 	 person 
 P 	 P ; p 	 alphabetic character 
 生産物 	 product ; production 	 object 
 ベンチ 	 bench 	 furniture 
 患者 	 patient 	 medicine 
 サフラン 	 saffron ; saffron crocus ; Crocus sativus 	 plant 
 オーストリア＝ハンガリー帝国 	 Austria-Hungary 	
 シルクロード 	 Silk Road 	
 東南アジア諸国連合 	 Association of Southeast Asian Nations ; ASEAN 	
